index	cluster	name	Day	.epred	class	color_epred
343	I	dicD	1	0.8930161338818186	up	0.8930161338818186
343	I	dicD	10	1.3752677436680398	zero	NA
323	I	ilvE	1	0.6450080751916575	zero	NA
323	I	ilvE	10	0.997420066250564	zero	NA
711	I	ybgQ	1	0.6319730897261787	zero	NA
711	I	ybgQ	10	0.9766730813272622	up	0.9766730813272622
33	I	bglA	1	0.9542969427086619	zero	NA
33	I	bglA	10	1.7467877799756413	up	1.7467877799756413
1038	I	fadI	1	0.9209044544014361	up	0.9209044544014361
1038	I	fadI	10	1.694255155665107	zero	NA
475	I	guaC	1	0.823114464484981	zero	NA
475	I	guaC	10	1.4596430086031895	zero	NA
702	I	yeaV	1	0.9915276438738191	zero	NA
702	I	yeaV	10	1.672879386336919	zero	NA
310	I	rnlA	1	1.1537308171423637	zero	NA
310	I	rnlA	10	1.9733517766988309	zero	NA
367	I	nanK	1	0.8330669523171735	zero	NA
367	I	nanK	10	1.419397142979537	zero	NA
252	I	ygjI	1	0.5543395376935636	up	0.5543395376935636
252	I	ygjI	10	0.9575573637384157	zero	NA
187	I	topAI	1	1.1312477892304447	up	1.1312477892304447
187	I	topAI	10	1.8052973519235167	zero	NA
355	I	sgcC	1	0.9074113503266372	zero	NA
355	I	sgcC	10	1.4485596721301957	zero	NA
41	I	ilvA	1	0.7360131113322078	zero	NA
41	I	ilvA	10	1.1937652096069027	up	1.1937652096069027
470	I	oppC	1	1.1695461293812777	up	1.1695461293812777
470	I	oppC	10	1.9393122375537037	zero	NA
505	I	yiaY	1	0.6373591070906959	zero	NA
505	I	yiaY	10	1.0581276816286558	up	1.0581276816286558
1174	I	fadL	1	0.9819974492253309	zero	NA
1174	I	fadL	10	1.611703044929403	up	1.611703044929403
762	I	rffG	1	0.6061441337089158	zero	NA
762	I	rffG	10	0.9960312144623552	up	0.9960312144623552
28	I	yqjK	1	1.5288574869799822	zero	NA
28	I	yqjK	10	1.3891654208277096	up	1.3891654208277096
1439	I	fliG	1	1.7099127467647703	zero	NA
1439	I	fliG	10	1.5595362268993893	zero	NA
712	I	glf	1	1.2972837361436038	up	1.2972837361436038
712	I	glf	10	1.1818459364014129	up	1.1818459364014129
665	I	kgtP	1	1.3268140842604788	zero	NA
665	I	kgtP	10	1.1941557001404512	zero	NA
756	I	dppB	1	1.7564311383267994	up	1.7564311383267994
756	I	dppB	10	1.5626948037679143	zero	NA
664	I	cnoX	1	1.191431599963268	up	1.191431599963268
664	I	cnoX	10	1.05803616518031	zero	NA
479	I	purU	1	0.9666374417821025	up	0.9666374417821025
479	I	purU	10	0.8531027488871892	zero	NA
622	I	lgoD	1	0.7541616514723349	up	0.7541616514723349
622	I	lgoD	10	0.6653405355557123	zero	NA
825	I	ibpA	1	0.822562169888478	zero	NA
825	I	ibpA	10	0.7276686561171143	up	0.7276686561171143
227	I	yqcE	1	1.5449399627663465	zero	NA
227	I	yqcE	10	1.4668895237039137	zero	NA
844	I	pepE	1	1.2283955168880107	up	1.2283955168880107
844	I	pepE	10	1.1613676999473546	zero	NA
1448	I	yibA	1	1.1516748056646267	zero	NA
1448	I	yibA	10	1.104480571896544	zero	NA
1464	I	ynfD	1	1.1530548634937858	up	1.1530548634937858
1464	I	ynfD	10	1.0999322273120458	up	1.0999322273120458
1197	I	mdtK	1	1.3245454885428483	up	1.3245454885428483
1197	I	mdtK	10	1.2440160594248146	zero	NA
1465	I	rimK	1	1.7609414429670618	zero	NA
1465	I	rimK	10	1.6468262792651898	zero	NA
152	I	hrpA	1	0.8343863911799408	zero	NA
152	I	hrpA	10	0.7814632304251938	up	0.7814632304251938
975	I	paoC	1	0.7573889531614442	zero	NA
975	I	paoC	10	0.7095600010966165	up	0.7095600010966165
981	I	ybeR	1	0.8570393864508407	up	0.8570393864508407
981	I	ybeR	10	0.7982927923336426	zero	NA
1187	I	bcsF	1	1.2455558444400234	zero	NA
1187	I	bcsF	10	1.1507692708941586	up	1.1507692708941586
1099	I	aphA	1	0.8861551575551546	zero	NA
1099	I	aphA	10	0.820736838735246	up	0.820736838735246
951	I	mtgA	1	0.8215670003010969	up	0.8215670003010969
951	I	mtgA	10	0.7600283074293963	up	0.7600283074293963
1282	I	hyfI	1	1.6787232402557335	zero	NA
1282	I	hyfI	10	1.7291051382201783	zero	NA
30	I	fecA	1	1.0167210994618745	up	1.0167210994618745
30	I	fecA	10	1.0479544720364358	up	1.0479544720364358
127	I	tldD	1	1.013307602642331	up	1.013307602642331
127	I	tldD	10	1.0443346492151664	zero	NA
935	I	talA	1	1.3259505905529227	zero	NA
935	I	talA	10	1.3628857742908604	zero	NA
846	I	yoaC	1	1.3737726424247942	zero	NA
846	I	yoaC	10	1.398734576064467	zero	NA
996	I	araD	1	1.3230743338071533	zero	NA
996	I	araD	10	1.3529247546289163	zero	NA
600	I	trhP	1	1.2429770152328476	up	1.2429770152328476
600	I	trhP	10	1.271426724086407	up	1.271426724086407
357	I	emrE	1	1.8503708798243155	up	1.8503708798243155
357	I	emrE	10	1.8331339229919066	zero	NA
326	I	fieF	1	1.3393245413961588	up	1.3393245413961588
326	I	fieF	10	1.326444977877254	zero	NA
1224	I	msrQ	1	1.4870695270540426	up	1.4870695270540426
1224	I	msrQ	10	1.4716125051806639	up	1.4716125051806639
603	I	pliG	1	1.2568556179734443	up	1.2568556179734443
603	I	pliG	10	1.242858326740502	zero	NA
1350	I	ybjC	1	1.2547806101547585	zero	NA
1350	I	ybjC	10	1.2366200954451407	zero	NA
239	I	gadW	1	0.9745971317614078	up	0.9745971317614078
239	I	gadW	10	0.9553322699084545	up	0.9553322699084545
636	I	ybgS	1	1.4636247215273908	zero	NA
636	I	ybgS	10	1.4587337976501578	zero	NA
1246	I	chpS	1	1.1248273358811423	up	1.1248273358811423
1246	I	chpS	10	1.1214610329028907	zero	NA
70	I	insJ	1	0.8592980625457344	zero	NA
70	I	insJ	10	0.8684040090064961	up	0.8684040090064961
202	I	viaA	1	0.8156095878136493	up	0.8156095878136493
202	I	viaA	10	0.8210864178289983	zero	NA
1492	I	nrdI	1	1.2062831066583273	zero	NA
1492	I	nrdI	10	1.3078771224759969	zero	NA
598	I	yedJ	1	1.337054562323455	up	1.337054562323455
598	I	yedJ	10	1.4774349052745381	zero	NA
663	I	yhbQ	1	1.8477107289239623	zero	NA
663	I	yhbQ	10	2.0404518808719625	up	2.0404518808719625
